date,tic,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
2018-01-02,AAPL,39.81283531119191,40.313537247208004,39.60225752847971,40.304176330566406,102223600.0,0.0,40.31060020973927,40.29072577903026,50.0,0.0,0.0,40.304176330566406,40.304176330566406
2018-01-02,JPM,86.08494586538256,86.39687634203554,85.42909126034742,86.34088897705078,13578800.0,0.0,40.31060020973927,40.29072577903026,50.0,0.0,0.0,86.34088897705078,86.34088897705078
2018-01-02,KO,35.53675339113394,35.559974023358976,35.22713118184445,35.2503547668457,10872200.0,0.0,40.31060020973927,40.29072577903026,50.0,0.0,0.0,35.2503547668457,35.2503547668457
2018-01-02,MSFT,79.03551985486091,79.20069364038586,78.45741510600642,78.87034606933594,22483800.0,0.0,40.31060020973927,40.29072577903026,50.0,0.0,0.0,78.87034606933594,78.87034606933594
2018-01-02,XOM,57.7468105152657,58.69754351687457,57.63658311586202,58.58042526245117,11469300.0,0.0,40.31060020973927,40.29072577903026,50.0,0.0,0.0,58.58042526245117,58.58042526245117
2018-01-03,AAPL,40.36734223890624,40.839968474154716,40.23397954869898,40.297149658203125,118071600.0,-0.00015764970046205917,40.31060020973927,40.29072577903026,0.0,0.0,100.0,40.300662994384766,40.300662994384766
2018-01-03,JPM,86.26890138088154,86.77278762803334,85.96497086544842,86.42886352539062,11901000.0,0.0019737879435126615,86.50929105062656,86.26046145181485,100.0,0.0,100.0,86.3848762512207,86.3848762512207
2018-01-03,KO,35.21165191978563,35.36646006809698,35.09554285577597,35.17294692993164,12635600.0,-0.0017367142897342092,35.3211220611865,35.10217963559084,0.0,0.0,100.0,35.21165084838867,35.21165084838867
2018-01-03,MSFT,78.97131295688773,79.38425106217161,78.88872953641184,79.2374267578125,26061400.0,0.00823578467736752,79.57301690170303,78.53475592544541,100.0,0.0,100.0,79.05388641357422,79.05388641357422
2018-01-03,XOM,58.66998528247098,59.916961862525454,58.43574353870885,59.7309455871582,13957700.0,0.025812956003036902,60.78276687179127,57.52860397781811,100.0,0.0,100.0,59.15568542480469,59.15568542480469
2018-01-04,AAPL,40.36970024075489,40.58729698934097,40.262074658991835,40.48434829711914,89738400.0,0.005604141581649458,40.574109307342276,40.149673549916834,96.49857630531565,0.0,100.0,40.361891428629555,40.361891428629555
2018-01-04,JPM,87.12030955675849,88.46297065511803,86.99166828235218,87.66702270507812,12953700.0,0.04091023968565821,88.29536512827099,85.32915167674204,100.0,0.0,100.0,86.81225840250652,86.81225840250652
2018-01-04,KO,35.265834913734146,35.77670947388221,35.18068866158012,35.66834259033203,12709400.0,0.013149271066097867,35.89687464609279,34.83088821198013,86.87749447085442,0.0,52.66472999156505,35.36388142903646,35.36388142903646
2018-01-04,MSFT,79.45765013084839,80.43952183890868,79.43930059469226,79.93482208251953,21912000.0,0.03212021166309853,80.4289558990971,78.26610737401487,100.0,0.0,100.0,79.34753163655598,79.34753163655598
